"","year","est","lwr","upr","log_est","se","sub_div","species","est_t","lwr_t","upr_t"
"17",2009,40185806.130058,32980703.0731338,52284212.9254897,17.5169716842133,0.117468928006029,"25","cod",40185.806130058,32980.7030731338,52284.2129254897
"18",2010,41501603.9070277,33691853.1125135,50971964.3719561,17.5382699067295,0.105693022892522,"25","cod",41501.6039070277,33691.8531125135,50971.9643719561
"19",2011,43440916.3631974,35358913.6044268,52825712.5615289,17.5815334561923,0.111547404696534,"25","cod",43440.9163631974,35358.9136044268,52825.7125615289
"20",2012,29961313.4142343,24817807.9369388,37466965.4663695,17.2165142981125,0.105742054492141,"25","cod",29961.3134142343,24817.8079369388,37466.9654663695
"21",2013,22521449.9475075,18796003.6963082,27977396.2598773,16.9367387745822,0.10339270447694,"25","cod",22521.4499475075,18796.0036963082,27977.3962598773
"22",2014,18266210.3817507,14357599.2378163,23355596.3179094,16.721031573481,0.126570231063898,"25","cod",18266.2103817507,14357.5992378163,23355.5963179094
"23",2015,25890013.3634478,21062778.7576118,32315651.1381771,17.068700434243,0.111198863398559,"25","cod",25890.0133634478,21062.7787576118,32315.6511381771
"24",2016,27133649.7515382,21756211.0846578,35546859.7787274,17.1198347059239,0.127724393619243,"25","cod",27133.6497515382,21756.2110846578,35546.8597787274
"25",2017,12983056.2706371,10334453.6622354,17039701.9061373,16.3844704406846,0.12369951941449,"25","cod",12983.0562706371,10334.4536622354,17039.7019061373
"26",2018,10758926.9382982,8351274.55695886,15298901.8020518,16.2044161942624,0.154894574122133,"25","cod",10758.9269382982,8351.27455695886,15298.9018020518
"27",2019,10849503.0535166,7351463.99002207,17895866.1836479,16.2192044714431,0.226630726033633,"25","cod",10849.5030535166,7351.46399002207,17895.8661836479
"28",2020,14131636.7975186,9905053.64151254,23642076.6671609,16.4910917532344,0.223601061402964,"25","cod",14131.6367975186,9905.05364151254,23642.0766671609
"29",1993,426118.071448855,155661.824015458,2580715.77903,13.0724481790927,0.779880564851563,"28","cod",426.118071448855,155.661824015458,2580.71577903
"30",1994,811209.145009583,361643.162464801,4176725.30631069,13.7173162375731,0.68728959090366,"28","cod",811.209145009583,361.643162464801,4176.72530631069
"31",1995,938835.810147848,379025.281397471,6120624.7632318,13.8482269167148,0.695247150281728,"28","cod",938.835810147848,379.025281397471,6120.6247632318
"32",1996,1578797.76204991,656999.360987341,10989019.2677602,14.3547036945351,0.689475492580598,"28","cod",1578.79776204991,656.999360987341,10989.0192677602
"33",1997,496460.944532379,234405.101147469,3278227.42566875,13.2544734698263,0.678444945215812,"28","cod",496.460944532379,234.405101147469,3278.22742566875
"34",1998,961482.702707954,415140.033341443,3895927.63891385,13.8680025809132,0.669848596299424,"28","cod",961.482702707954,415.140033341443,3895.92763891385
"35",1999,952349.170499655,428068.617933758,4263373.76734593,13.8343272383925,0.640472474628403,"28","cod",952.349170499655,428.068617933759,4263.37376734593
"36",2000,753842.880930406,333387.507605095,3649977.69903664,13.6386880158549,0.664532757738953,"28","cod",753.842880930406,333.387507605095,3649.97769903664
"37",2001,1209121.39588776,565758.831406628,6149855.71466499,14.0992811222312,0.625518984179755,"28","cod",1209.12139588776,565.758831406628,6149.85571466499
"38",2002,1494508.83980559,623347.624202127,9140498.43303612,14.3211560660064,0.696916003983361,"28","cod",1494.50883980559,623.347624202127,9140.49843303612
"39",2003,1309081.84376981,627330.09815149,6851924.27538084,14.2028140485673,0.670612414127014,"28","cod",1309.08184376981,627.33009815149,6851.92427538084
"40",2004,318231.893690744,129931.388681555,1424944.22571098,12.7623360816088,0.704078156583444,"28","cod",318.231893690744,129.931388681555,1424.94422571098
"41",2005,1013861.89079437,484811.435424043,4327709.41478276,13.9378942028278,0.652574546263544,"28","cod",1013.86189079437,484.811435424043,4327.70941478276
"42",2006,1281871.43417022,673743.646000043,6233788.99981744,14.1671835206933,0.579024959524647,"28","cod",1281.87143417022,673.743646000043,6233.78899981744
"43",2007,471781.961734302,260328.884023827,1869270.57741745,13.1605658912511,0.544554506300391,"28","cod",471.781961734302,260.328884023827,1869.27057741745
"44",2008,794889.182229504,419901.512141757,3897784.9510021,13.6716412220288,0.574557168689536,"28","cod",794.889182229504,419.901512141757,3897.7849510021
"45",2009,1012210.50011452,513738.982583775,3205800.81734654,13.8974189771384,0.51669755891671,"28","cod",1012.21050011452,513.738982583775,3205.80081734654
"46",2010,670999.664496016,352310.379955665,3594723.72304949,13.534066770228,0.625648665650543,"28","cod",670.999664496015,352.310379955665,3594.72372304949
